yr_BP,accum_rate
-11310.811,0.030337078
-11067.567,0.02977528
-10743.243,0.028370786
-10540.541,0.027808988
-10236.486,0.029213483
-10114.865,0.029494382
-10013.514,0.029494382
-9810.811,0.027808988
-9668.919,0.026966292
-9506.757,0.026966292
-9385.135,0.026685392
-9182.433,0.026966292
-9060.811,0.026404494
-8979.7295,0.026123596
-8878.378,0.026123596
-8756.757,0.026685392
-8594.595,0.026404494
-8432.433,0.026404494
-8310.811,0.02724719
-8148.6484,0.028932584
-7945.946,0.029494382
-7702.7026,0.03511236
-7500,0.03567416
-7317.5674,0.04325843
-7195.946,0.042977527
-7074.324,0.05
-6972.973,0.05
-6831.081,0.05533708
-6729.7295,0.055898875
-6648.6484,0.058988765
-6527.027,0.06039326
-6364.8647,0.06235955
-6263.5137,0.06320225
-6141.892,0.06320225
-6020.2705,0.061516855
-5939.189,0.059269663
-5817.5674,0.05730337
-5777.027,0.05533708
-5675.676,0.053089887
-5371.6216,0.053651687
-5108.108,0.05786517
-5006.757,0.061235957
-4844.5947,0.06629214
-4722.973,0.06825843
-4520.2705,0.06966292
-4398.6484,0.07162921
-4256.757,0.07247191
-4175.676,0.071067415
-3932.4324,0.072191015
-3831.081,0.07022472
-3790.5405,0.06769663
-3689.1892,0.06460674
-3587.838,0.06235955
-3405.4055,0.060674157
-3182.4324,0.06264045
-3040.5405,0.05983146
-2898.6487,0.05730337
-2574.3242,0.053932585
-2351.3513,0.055617977
-2209.4595,0.058988765
-2108.1082,0.06376404
-2027.027,0.073033705
-2006.7567,0.07865169
-1864.8649,0.084269665
-1783.7838,0.08455056
-1702.7028,0.08342697
-1662.1621,0.07865169
-1601.3513,0.0738764
-1479.7297,0.07050562
-1398.6487,0.06882022
-1236.4865,0.07275281
-1135.1351,0.0752809
-1054.0541,0.075
-1013.5135,0.07331461
-912.1622,0.073033705
-770.27026,0.069101125
